EquipmentNo,Age (Yrs),Station Name,24Hr,AM,PM,Outages,Scheduled,Non-Scheduled,Entrapments
EL121,3,Pelham Bay Park - 6 Line(s),95.95 %,98.90 %,96.60 %,8,2,6,3
EL122,3,Pelham Bay Park - 6 Line(s),95.20 %,95.71 %,96.77 %,4,1,3,1
EL123,30,175 St - A Line(s),91.21 %,88.65 %,93.47 %,9,1,8,0
EL124,30,175 St - A Line(s),95.40 %,94.15 %,99.80 %,7,1,6,0
EL125,3,125 St - 4/5/6 Line(s),96.77 %,98.73 %,95.42 %,11,1,10,1
EL126,3,125 St - 4/5/6 Line(s),98.54 %,100.00 %,98.19 %,1,0,1,0
EL127,3,Simpson St - 2/5 Line(s),94.07 %,100.00 %,93.16 %,7,1,6,1
EL128,3,Simpson St - 2/5 Line(s),97.40 %,100.00 %,97.10 %,3,1,2,1
EL129,22,149 St - 3 Av - 2/5 Line(s),91.75 %,88.08 %,96.77 %,10,3,7,0
EL130,22,149 St - 3 Av - 2/5 Line(s),96.96 %,98.41 %,96.37 %,4,2,2,1
EL131,17,161 St - Yankee Stadium - 4/B/D Line(s),99.39 %,100.00 %,100.00 %,1,0,1,0
EL132,17,161 St - Yankee Stadium - 4/B/D Line(s),98.68 %,100.00 %,95.19 %,2,0,2,0
EL133,17,161 St - Yankee Stadium - 4/B/D Line(s),97.61 %,100.00 %,95.77 %,5,1,4,1
EL134,17,161 St - Yankee Stadium - 4/B/D Line(s),99.33 %,100.00 %,100.00 %,1,1,0,0
EL135,17,161 St - Yankee Stadium - 4/B/D Line(s),95.46 %,93.90 %,96.77 %,2,1,1,0
EL136,12,Pelham Pkwy - 2/5 Line(s),98.45 %,100.00 %,100.00 %,3,2,1,1
EL137,12,Pelham Pkwy - 2/5 Line(s),98.79 %,100.00 %,100.00 %,2,2,0,0
